date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 15:14:05.155822-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:29:50.103366-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:27:39.094151-03:00
2025-09-04,9.0,-4.0,0.0,forecast,247,2025-09-04 11:44:22.684712-03:00
2025-09-05,11.0,-2.0,0.0,forecast,248,2025-09-05 09:22:41.136143-03:00
2025-09-06,17.0,1.0,0.0,forecast,249,2025-09-06 09:20:05.449660-03:00
2025-09-07,18.0,6.0,0.0,forecast,250,2025-09-06 09:20:05.449660-03:00
2025-09-08,21.0,6.0,0.0,forecast,251,2025-09-06 09:20:05.449660-03:00
2025-09-09,21.0,4.0,0.0,forecast,252,2025-09-06 09:20:05.449660-03:00
2025-09-10,21.0,11.0,3.3,forecast,253,2025-09-06 09:20:05.449660-03:00
2025-09-11,21.0,5.0,0.0,forecast,254,2025-09-06 09:20:05.449660-03:00
2025-09-12,21.0,6.0,0.0,forecast,255,2025-09-06 09:20:05.449660-03:00
2025-09-13,20.0,8.0,0.0,forecast,256,2025-09-06 09:20:05.449660-03:00
